"","ATB_PositiveExposure.1","ATB_PositiveExposure.2","ATB_PositiveExposure.3","ATB_PositiveExposure.4","ATB_PositiveExposure.5","ATB_PositiveExposure.6","ATB_PositiveExposure.7","ATB_PositiveExposure.8","ATB_PositiveExposure.9","ATB_PositiveExposure.10","ATB_NegativeExposure.1","ATB_NegativeExposure.2","ATB_NegativeExposure.3","ATB_NegativeExposure.4","ATB_NegativeExposure.5","ATB_NegativeExposure.6","ATB_NegativeExposure.7","ATB_NegativeExposure.8","ATB_Trade.Offs.1","ATB_Trade.Offs.2","ATB_Trade.Offs.3","ATB_Trade.Offs.4","ATB_Trade.Offs.5","ATB_Trade.Offs.6","ATB_Nurturance.1","ATB_Nurturance.2","ATB_Nurturance.3","ATB_Nurturance.4","ATB_Nurturance.5","ATB_Nurturance.6","ATB_FemaleRoleBeliefs.1","ATB_FemaleRoleBeliefs.2","ATB_FemaleRoleBeliefs.3","ATB_FemaleRoleBeliefs.4","ABS_total_mean","ABS_total_sd","ABS_PositiveExp_mean","ABS_PositiveExp_sd","ABS_NegativeExp_mean","ABS_NegativeExp_sd","ABS_TradeOffs_mean","ABS_TradeOffs_sd","ABS_Nurturance_mean","ABS_Nurturance_sd","ABS_RoleBelief_mean","ABS_RoleBelief_sd"
"11",2,1,1,4,4,3,2,1,2,4,4,4,4,5,4,5,4,4,3,5,4,5,4,5,3,4,4,2,2,3,1,1,1,2,3.14705882352941,1.3736117607105,2.4,1.26491106406735,4.25,0.462910049886276,4.33333333333333,0.816496580927726,3,0.894427190999916,1.25,0.5
"12",2,2,1,2,4,1,1,4,1,4,4,1,2,4,5,2,4,2,5,5,5,5,2,2,5,4,5,2,2,4,1,1,1,1,2.82352941176471,1.56612991905243,2.2,1.31656117720877,3,1.4142135623731,4,1.54919333848297,3.66666666666667,1.36626010212795,1,0
"13",1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,5,5,2,3,3,3,4,3,4,5,2,4,2,3,3,1,1,1,1,2.55882352941176,1.56071422015863,1,0,4.25,1.16496474502144,3.33333333333333,0.516397779494322,3.16666666666667,1.16904519445001,1,0
"14",1,1,1,1,1,1,1,1,1,1,5,2,4,5,5,5,5,5,4,5,5,5,4,5,1,3,5,3,3,3,1,1,1,1,2.82352941176471,1.80017824429414,1,0,4.5,1.0690449676497,4.66666666666667,0.516397779494322,3,1.26491106406735,1,0
"15",4,4,2,4,3,3,1,4,2,4,4,1,2,1,4,3,2,2,3,2,4,4,3,3,3,4,5,2,4,3,1,1,1,1,2.76470588235294,1.20752247057106,3.1,1.10050493461461,2.375,1.18773493916542,3.16666666666667,0.752772652709081,3.5,1.04880884817015,1,0
"16",4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,1,1,1,1,2.94117647058824,1.57520900913494,4,0,1,0,3,0,5,0,1,0
"17",4,3,3,3,4,4,4,3,2,3,2,2,2,3,4,4,1,2,2,3,2,4,2,2,5,4,5,3,4,4,4,2,2,3,3.05882352941176,1.0132807942098,3.3,0.674948557710553,2.5,1.0690449676497,2.5,0.836660026534076,4.16666666666667,0.752772652709081,2.75,0.957427107756338
"18",3,3,2,3,2,4,2,3,1,3,1,1,3,1,2,2,1,1,4,3,5,4,4,2,5,4,5,5,5,4,2,2,1,3,2.82352941176471,1.35893425789865,2.6,0.843274042711568,1.5,0.755928946018454,3.66666666666667,1.03279555898864,4.66666666666667,0.516397779494322,2,0.816496580927726
"19",3,3,2,4,4,4,2,4,2,5,2,1,2,2,4,3,1,1,2,3,4,4,4,1,5,4,5,3,5,4,1,1,1,1,2.85294117647059,1.39549823710683,3.3,1.05934990547138,2,1.0690449676497,3,1.26491106406735,4.33333333333333,0.816496580927726,1,0
"20",3,3,2,3,4,4,2,2,3,4,2,2,2,2,4,4,2,2,2,3,2,2,2,2,4,4,4,2,4,4,1,1,1,1,2.61764705882353,1.04489250954643,3,0.816496580927726,2.5,0.925820099772551,2.16666666666667,0.408248290463863,3.66666666666667,0.816496580927726,1,0
"21",5,4,2,4,5,4,4,4,4,4,4,1,2,4,5,4,4,5,3,5,4,4,2,4,3,5,5,4,5,5,1,1,1,1,3.58823529411765,1.37328729826102,4,0.816496580927726,3.625,1.40788595317336,3.66666666666667,1.03279555898864,4.5,0.836660026534076,1,0
"22",3,2,4,4,5,3,2,2,3,4,4,2,3,4,5,5,5,4,3,4,4,4,3,4,3,3,4,2,2,4,1,1,1,1,3.17647058823529,1.2178119533221,3.2,1.03279555898864,4,1.0690449676497,3.66666666666667,0.516397779494322,3,0.894427190999916,1,0
"23",4,3,2,3,4,2,2,2,2,3,4,2,3,4,5,4,4,4,5,5,5,5,5,5,4,4,4,2,2,2,1,1,1,1,3.20588235294118,1.36580338805798,2.7,0.823272602348565,3.75,0.886405260427918,5,0,3,1.09544511501033,1,0
"24",1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,1,1,1,1,1,2,2,2.79411764705882,1.9505929442671,1,0,5,0,5,0,1.5,1.22474487139159,1.5,0.577350269189626
"25",2,1,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,2,1,5,4,4,2,4,3,4,4,2,2,2,1,1,1,1,2.41176470588235,1.13130782614833,1.9,0.316227766016838,2.75,1.03509833901353,3.33333333333333,1.50554530541816,2.83333333333333,0.983192080250175,1,0
"26",2,2,1,3,2,4,1,1,2,4,4,5,4,3,5,5,5,4,3,2,4,4,3,4,2,1,4,1,1,2,2,1,1,1,2.73529411764706,1.42081546216956,2.2,1.13529242439509,4.375,0.744023809142845,3.33333333333333,0.816496580927726,1.83333333333333,1.16904519445001,1.25,0.5
"27",3,3,3,3,3,3,3,3,3,3,3,1,2,4,5,4,2,3,2,4,4,5,3,3,1,4,4,2,3,4,1,1,1,1,2.85294117647059,1.13170166700487,3,0,3,1.30930734141595,3.5,1.04880884817015,3,1.26491106406735,1,0
"28",1,1,1,1,1,2,1,1,1,1,2,4,4,2,5,5,4,5,2,4,4,5,4,5,1,4,2,1,1,2,1,1,1,1,2.38235294117647,1.59572736112774,1.1,0.316227766016838,3.875,1.24642345475822,4,1.09544511501033,1.83333333333333,1.16904519445001,1,0
"29",1,1,1,1,1,1,1,1,1,1,4,1,5,5,5,5,5,5,2,5,5,5,3,5,1,4,5,1,1,1,1,1,1,1,2.55882352941176,1.87796111991554,1,0,4.375,1.40788595317336,4.16666666666667,1.32916013582513,2.16666666666667,1.83484785926972,1,0
"30",1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,4,4,3,5,5,5,3,5,3,2,5,2,2,2,1,1,1,1,2.64705882352941,1.64928548241217,1,0,4.25,0.462910049886276,4.33333333333333,1.03279555898864,2.66666666666667,1.211060141639,1,0
"31",4,2,3,4,3,4,2,4,4,3,2,4,3,2,4,4,2,2,4,2,3,4,3,2,2,3,4,3,4,3,2,3,4,5,3.14705882352941,0.892132377090485,3.3,0.823272602348565,2.875,0.991031208965115,3,0.894427190999916,3.16666666666667,0.752772652709081,3.5,1.29099444873581
"32",1,1,1,1,1,1,1,1,1,1,3,4,3,3,4,4,4,3,1,4,3,4,3,4,3,3,2,2,2,3,1,1,1,1,2.23529411764706,1.23236219413779,1,0,3.5,0.534522483824849,3.16666666666667,1.16904519445001,2.5,0.547722557505166,1,0
"33",5,5,3,5,5,4,4,2,5,5,4,2,5,4,5,2,2,4,1,3,4,2,1,1,5,1,5,2,2,2,5,1,4,1,3.26470588235294,1.56299680159063,4.3,1.05934990547138,3.5,1.30930734141595,2,1.26491106406735,2.83333333333333,1.72240142436851,2.75,2.06155281280883
"34",2,2,1,2,1,2,1,2,2,2,4,4,2,4,5,5,2,3,1,3,3,3,2,3,3,2,4,2,3,2,3,3,2,2,2.55882352941176,1.04999787793691,1.7,0.483045891539648,3.625,1.18773493916542,2.5,0.836660026534076,2.66666666666667,0.816496580927726,2.5,0.577350269189626
